200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-ajax-response.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/locale.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-feed.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/ms-default-constants.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-customize-widgets.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/template-loader.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-json.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/rss.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-customize-section.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-pop3.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/feed-rss2.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/capabilities.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/default-constants.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/media.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/ms-functions.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-IXR.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/l10n.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/ms-deprecated.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-phpmailer.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-oembed.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/rewrite.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/feed-rss2-comments.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/option.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/version.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/vars.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-walker.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/feed-atom.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/wp-diff.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/registration-functions.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp-error.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/deprecated.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/theme.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/bookmark.php
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/comment-template.php
200      GET       43l       43w     1045c http://192.168.173.50/wordpress/wp-includes/wlwmanifest.xml
500      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/registration.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class-wp.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/feed.php
200      GET        0l        0w        0c http://192.168.173.50/wordpress/wp-includes/class.wp-dependencies.php
